Index number: 2
Stimuli file: deviantart_limo_ad.png
1197 794 false
1184 801 false
1184 798 false
1184 800 false
1181 799 false
1150 777 false
1159 811 false
1154 803 false
1164 795 false
1168 788 false
1171 786 false
1168 785 true
1166 787 true
1164 792 true
1161 794 true
1158 794 true
1154 797 true
1150 797 true
1150 798 true
1147 799 true
1147 798 true
1146 796 true
1144 794 true
1052 645 false
896 403 false
826 377 false
844 395 false
820 384 false
809 344 false
814 378 false
811 400 false
809 393 false
805 389 false
802 398 false
776 405 false
526 544 false
557 560 false
555 579 false
551 569 false
552 568 false
550 580 false
555 584 true
441 760 false
592 820 false
573 821 false
548 814 false
547 805 false
545 799 false
542 797 true
540 796 true
541 795 true
537 797 true
540 797 true
541 800 true
539 797 true
539 796 true
537 789 true
537 790 true
539 790 true
539 789 true
538 788 true
540 790 true
537 792 true
537 792 true
539 793 true
540 793 true
541 793 true
542 795 true
543 796 true
542 799 true
540 798 true
540 799 true
541 798 true
647 659 false
672 647 false
647 638 false
649 644 false
649 643 false
650 637 false
645 631 true
643 624 true
646 629 true
641 623 true
641 629 true
639 616 true
638 626 true
640 613 true
640 610 true
638 611 true
639 611 true
632 617 true
513 832 false
522 854 false
528 844 false
527 842 false
524 842 false
523 835 false
518 830 true
516 829 true
516 832 true
517 832 true
517 832 true
518 829 true
518 828 true
518 829 true
518 828 true
520 829 true
520 829 true
521 831 true
523 831 true
522 830 true
520 830 true
521 834 true
521 831 true
520 835 true
520 836 true
518 836 true
518 834 true
519 833 true
518 834 true
519 834 true
520 835 true
519 835 true
518 835 true
518 838 true
515 840 true
513 842 true
510 844 true
507 843 true
505 845 true
502 845 true
499 846 true
496 844 true
494 843 true
491 844 true
490 844 true
490 844 true
486 843 true
484 841 true
482 841 true
480 841 true
480 843 true
478 846 true
479 844 true
475 848 true
474 849 true
473 849 true
